SA1_7DIGITCODE_2016,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
5100101,26,3,0,0,0,0,0,32
5100102,144,5,6,0,0,0,0,150
5100103,18,0,0,0,0,0,0,23
5100104,26,0,4,0,0,0,0,32
5100105,18,4,0,0,0,0,0,21
5100106,0,0,0,0,0,0,0,0
5100107,28,4,0,0,0,0,0,31
5100108,0,0,0,0,0,0,0,0
5100109,42,4,0,0,0,0,0,50
5100110,12,0,4,0,0,0,0,20
5100111,34,3,0,0,0,0,0,33
5100112,31,0,3,0,0,0,0,36
5100113,26,0,0,0,0,0,0,26
5100114,65,4,4,0,0,0,0,76
5100115,44,4,0,0,0,0,0,46
5100116,0,0,0,0,0,0,0,0
5100202,12,5,0,0,0,0,0,18
5100203,63,3,3,0,0,0,0,65
5100204,30,0,6,5,0,0,0,40
5100205,44,0,0,0,0,0,0,46
5100206,20,0,4,0,0,0,0,24
5100207,19,3,5,0,0,0,0,25
5100209,30,3,3,0,0,0,0,33
5100213,20,3,0,0,0,0,0,20
5100214,87,7,3,0,0,0,0,96
5100216,27,10,3,0,0,0,0,37
5100217,21,0,0,0,0,0,0,27
5100218,19,5,0,0,0,0,0,23
5100219,33,4,0,0,0,0,0,33
5100220,27,0,0,0,0,0,0,39
5100222,66,4,0,0,0,0,0,68
5100223,41,5,0,0,0,0,0,48
5100224,39,7,4,0,0,0,0,54
5100226,37,5,0,0,0,0,0,43
5100227,16,3,0,0,0,0,0,21
5100229,75,9,7,0,0,0,0,86
5100230,15,0,0,0,0,0,0,17
5100231,61,0,4,0,0,0,0,64
5100232,36,3,0,0,0,0,0,38
5100233,37,0,0,0,0,0,0,36
5100234,61,10,3,0,0,0,0,68
5100235,32,3,4,0,0,0,0,43
5100236,40,3,3,0,0,0,0,51
5100237,30,3,0,0,0,0,0,31
5100238,30,3,0,0,0,0,0,37
5100239,19,0,0,0,0,0,0,26
5100240,32,4,4,0,0,0,0,42
5100241,34,4,0,3,0,0,0,40
5100243,60,4,0,0,0,0,0,65
5100244,58,4,6,0,0,0,0,69
5100246,12,0,0,0,0,0,0,17
5100247,21,8,0,0,0,0,0,33
5100249,21,3,0,0,0,0,0,22
5100250,24,0,3,0,0,0,0,31
5100251,21,0,3,0,0,0,0,22
5100252,31,3,0,0,0,0,0,37
5100253,97,6,9,3,0,0,0,111
5100254,15,0,0,0,0,0,0,16
5100255,3,0,0,0,0,0,0,3
5100256,19,0,0,0,0,0,0,15
5100257,52,4,0,0,0,0,0,56
5100258,32,5,6,0,0,0,0,42
5100259,46,8,0,0,0,0,0,54
5100260,4,0,0,0,0,0,0,3
5100261,45,3,3,3,0,0,0,58
5100262,21,3,3,0,0,0,0,27
5100263,52,3,0,0,0,0,0,56
5100264,22,8,3,0,0,0,0,30
5100265,0,0,0,0,0,0,0,0
5100266,50,6,4,0,0,0,0,60
5100267,51,5,3,0,0,0,0,59
5100268,43,0,0,0,0,0,0,49
5100269,0,0,0,0,0,0,0,0
5100270,13,0,0,0,0,0,0,15
5100271,13,0,0,0,0,0,0,13
5100272,105,10,7,0,0,0,0,124
5100273,20,0,0,0,0,0,0,20
5100274,25,4,5,0,0,0,0,31
5100275,38,4,4,0,0,0,0,43
5100276,48,3,3,0,0,0,0,56
5100277,8,3,0,0,0,0,0,15
5100278,19,0,4,0,0,0,0,20
5100279,25,0,3,0,0,0,0,26
5100280,34,9,7,0,0,0,0,51
5100281,20,3,3,0,0,0,0,26
5100282,36,4,6,0,0,0,0,45
5100283,50,7,0,0,0,0,0,60
5100301,11,0,0,0,0,0,0,16
5100302,44,0,0,0,0,0,0,46
