SA2_MAINCODE_2016,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_v,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_v,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_v,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_v,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_v,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_v,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_v,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_v,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_v,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_v,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_v,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_v,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_v,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_v,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_v,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_v,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_v,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_v,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_v,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_v,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_v,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_v,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_v,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_v,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_v,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_v,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_v,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_v,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_v,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_v,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_v,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_v,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_v,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_v,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_v,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_v,P_Tot_Tot
501011001,0,151,9,3,166,5,299,38,0,349,0,102,13,8,127,3,53,11,3,75,6,183,22,11,228,8,334,44,6,386,13,324,41,0,374,9,353,41,4,408,17,323,28,9,370,11,125,11,0,148,7,31,5,0,45,77,2282,264,48,2666,0,157,9,0,165,0,314,34,3,349,4,91,11,0,108,0,75,8,5,85,5,222,31,16,270,8,320,43,4,376,4,321,30,3,365,12,385,36,3,443,17,269,26,5,316,18,123,12,3,159,24,34,7,0,67,102,2320,250,44,2710,0,305,27,3,335,9,608,77,3,698,7,197,23,8,234,3,124,19,14,158,14,408,52,26,502,11,657,82,9,764,12,647,75,3,739,25,738,80,9,849,32,595,48,9,687,32,251,21,4,308,40,64,13,0,110,178,4594,515,96,5381
501011002,12,740,49,6,811,60,1727,123,17,1922,22,751,44,3,823,19,513,32,8,577,28,1055,114,19,1214,29,1344,104,8,1492,46,1357,110,10,1526,64,1295,135,17,1512,95,1181,118,20,1412,86,562,79,9,735,94,149,34,0,281,564,10680,948,119,12303,3,694,49,7,757,27,1667,103,13,1816,12,748,45,14,817,8,536,47,25,612,15,1250,100,35,1410,38,1618,123,20,1804,82,1627,135,20,1859,72,1547,113,17,1753,108,1275,130,16,1526,144,669,108,11,934,203,204,64,3,468,723,11833,1019,180,13754,17,1437,93,20,1568,92,3395,225,29,3742,32,1494,88,22,1638,34,1047,83,33,1190,41,2311,215,51,2627,70,2966,227,30,3293,125,2981,244,28,3383,137,2845,254,33,3263,204,2463,245,37,2944,232,1233,189,21,1668,302,348,98,4,752,1284,22515,1966,299,26059
501011003,3,349,36,5,397,16,696,45,3,766,3,231,17,9,257,0,139,16,15,166,6,464,52,26,548,7,647,56,7,716,6,661,49,11,726,10,576,62,3,658,26,446,45,3,517,11,166,19,3,196,12,30,0,0,49,109,4402,406,85,4990,3,321,34,3,355,3,689,47,4,745,0,201,8,8,218,0,134,19,14,170,4,556,58,15,631,4,749,64,6,836,8,629,43,16,701,19,583,68,3,673,11,463,35,4,515,24,140,11,4,173,15,27,7,0,50,89,4495,393,90,5066,3,671,70,8,747,23,1383,96,10,1508,3,433,29,19,484,0,274,38,23,335,10,1019,105,45,1178,8,1398,125,11,1549,14,1285,99,26,1429,30,1165,126,11,1325,37,910,78,6,1035,31,302,30,6,370,27,58,6,0,99,193,8896,792,172,10055
501011004,3,302,31,6,341,23,658,51,9,747,3,220,21,6,252,0,132,11,44,185,3,521,47,69,638,4,629,61,19,714,15,530,65,33,645,11,441,59,16,528,11,265,43,10,329,13,90,15,0,119,12,26,0,0,40,113,3808,413,207,4538,0,294,28,8,327,12,567,48,10,641,4,187,29,14,232,0,139,18,28,186,4,640,62,76,779,4,725,57,32,822,10,548,55,22,632,19,482,46,15,570,13,268,36,7,327,17,108,16,3,143,32,34,3,0,68,114,3992,401,214,4727,3,596,58,19,673,29,1229,108,18,1385,4,403,51,20,477,3,271,26,66,375,6,1160,109,140,1416,14,1351,120,49,1537,22,1075,121,51,1273,35,920,113,35,1096,26,530,87,15,657,31,195,26,3,260,45,55,4,0,108,225,7802,818,424,9261
501021005,13,641,48,0,697,61,1308,81,9,1458,20,551,44,0,611,15,388,14,0,417,13,900,55,4,969,19,962,63,0,1047,21,994,72,4,1087,37,802,67,0,914,51,549,49,0,646,29,211,26,3,273,30,30,6,0,64,302,7345,524,22,8196,5,601,30,0,642,21,1285,76,16,1399,6,497,37,3,552,3,351,27,7,390,15,1107,66,3,1192,20,1125,80,4,1230,28,1095,77,4,1203,35,936,60,12,1045,34,586,56,3,685,54,206,30,0,291,32,48,12,0,88,261,7843,561,50,8712,16,1238,75,0,1338,82,2600,153,21,2857,29,1051,81,3,1155,21,745,43,7,805,28,1999,128,3,2160,38,2094,141,3,2274,50,2092,147,9,2292,75,1741,134,16,1964,88,1139,108,6,1336,85,419,61,4,567,57,81,17,0,151,561,15187,1080,69,16906
501021007,0,153,9,0,162,16,336,20,0,370,5,155,3,0,165,3,89,9,0,97,3,202,18,5,228,8,253,20,0,286,5,322,27,0,357,11,299,22,0,337,28,250,24,0,304,11,73,7,0,89,9,19,4,0,27,97,2144,166,5,2420,0,140,16,0,152,8,347,29,0,387,0,127,7,4,142,0,91,7,0,104,9,264,17,4,295,10,311,22,3,347,6,363,40,0,405,19,331,20,0,372,8,217,23,0,242,12,95,11,0,117,9,17,3,0,29,78,2308,192,12,2596,0,295,25,0,317,20,682,48,0,757,6,279,10,4,304,5,180,17,0,205,8,466,38,6,518,13,570,45,3,631,11,685,61,0,768,30,631,42,0,710,36,468,49,0,547,19,168,14,0,208,20,34,8,0,55,178,4460,361,15,5012
501021008,3,195,25,0,216,14,300,31,0,345,7,159,23,3,196,7,210,44,0,267,4,400,142,0,541,17,329,130,3,477,26,341,88,0,448,34,316,57,0,410,33,213,45,0,298,25,107,14,0,150,34,24,13,0,73,209,2590,604,10,3416,0,187,16,0,199,5,324,28,0,361,4,153,16,0,168,4,201,21,0,225,9,431,34,3,477,12,354,34,0,402,33,380,28,0,443,33,350,35,6,422,34,233,36,0,304,51,135,30,0,214,77,33,19,0,130,272,2772,297,10,3353,3,380,36,0,420,24,624,54,0,703,13,306,40,3,364,17,410,64,0,494,20,828,176,3,1022,25,682,167,3,874,56,721,116,0,892,62,669,100,7,836,70,447,79,0,598,77,238,39,0,357,110,61,30,0,199,482,5361,897,18,6766
501021009,0,259,15,0,280,26,520,33,0,580,16,255,20,3,291,7,244,27,3,286,15,407,48,0,472,20,409,38,0,470,24,500,38,0,564,49,548,62,0,652,40,375,43,0,458,30,129,28,0,186,15,28,14,0,58,238,3679,370,9,4295,0,230,14,0,250,4,515,35,4,562,5,234,30,3,267,8,207,20,3,239,11,447,48,0,509,17,439,37,0,493,30,516,48,5,600,46,519,50,0,613,30,370,40,0,441,44,156,27,0,225,31,29,27,0,90,227,3667,376,16,4280,3,493,25,0,525,28,1039,73,4,1142,19,482,48,6,555,12,452,47,4,522,21,859,96,3,981,33,854,75,0,966,54,1012,87,3,1163,92,1060,110,0,1265,72,746,80,0,903,77,288,53,0,413,51,59,42,0,146,465,7350,738,20,8574
501021010,0,79,4,0,86,8,217,12,0,237,0,104,8,0,115,0,53,3,0,63,3,115,7,0,125,0,170,19,0,186,9,236,16,0,257,8,198,17,0,227,7,136,11,0,160,8,52,3,0,64,3,11,3,0,11,48,1367,119,0,1527,0,80,14,0,89,0,230,13,0,246,3,98,3,3,106,0,63,0,0,66,5,123,16,3,138,0,176,16,0,185,3,234,22,0,255,14,214,17,0,249,4,121,12,0,136,7,45,3,0,61,3,8,0,0,16,41,1381,116,5,1548,0,159,21,0,177,10,443,28,0,479,3,202,15,3,219,0,119,9,0,129,8,238,23,3,271,3,337,30,3,373,9,464,33,0,514,26,407,34,0,469,9,257,27,0,295,15,102,6,0,126,6,19,7,0,27,89,2749,228,9,3078
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,13
